"Name","Path","Position","Is Active","Url Key","Description","Image","Page Title","Meta Keywords","Meta Description","Include In Menu","Display Mode","CMS Block","Is Anchor","Availabe Sort By","Default Sort By","Page Layout","Custom Layout Update"
"Yellow Jackets- 5654","Root team","44","No","yellow-jackets-5654","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Jackets</txt></action>
</block>
</reference>"
"TCNJ- 5191","Root team","45","No","tcnj-5191","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Lacrosse</txt></action>
</block>
</reference>"
"Xaverian Brothers- 5119","Root team","46","No","xaverian-brothers-5119","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Brothers</txt></action>
</block>
</reference>"
"Wantagh Lacrosse- 5850","Root team","47","No","wantagh-lacrosse-5850","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>WARRIORS</txt></action>
</block>
</reference>"
"Recon Lacrosse- 5786","Root team","48","No","recon-lacrosse-5786","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Lacrosse</txt></action>
</block>
</reference>"
"Lacrosse Unlimited College Lacrosse GAME OF THE WEEK ","Root Category","18","Yes","college-lacrosse-game-of-the-week","Featured College Lacrosse Games of the Week. Brought to you by Lacrosse Unlimited. Exclusive Custom Lacrosse gear.","","Featured College Lacrosse Game of the Week | Top 5 College Lacrosse Gear","","","No","Products only","","No","","","No layout updates",""
"Rumson Lacrosse- 5429","Root team","43","No","rumson-lacrosse-5429","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Fair</txt></action>
</block>
</reference>"
"South Brunswick Lacrosse- 5225","Root team","42","No","south-brunswick-hs-lacrosse-5225","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Brunswick</txt></action>
</block>
</reference>"
"SUNY Maritime- 5549","Root team","41","No","suny-maritime-5549","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Privateers</txt></action>
</block>
</reference>"
"Canterbury Girl\'s Lacrosse- 5074","Root team","40","No","canterbury-girl-s-lacrosse-5074","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Saints</txt></action>
</block>
</reference>"
"CSH Girl\'s Lacrosse- 5321","Root team","39","No","csh-girl-s-lacrosse-5321","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Lax</txt></action>
</block>
</reference>"
"Syosset Girl\'s Lacrosse- 4854","Root team","38","No","syosset-girl-s-lacrosse-4854","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Braves</txt></action>
</block>
</reference>"
"West Islip Lacrosse- 4595","Root team","36","No","west-islip-lacrosse-4595","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Lions</txt></action>
</block>
</reference>"
"Babylon Boys Lacrosse- 5475","Root team","37","No","babylon-high-school-boys-lacrosse-5475","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Lacrosse</txt></action>
</block>
</reference>"
"Spartans Lacrosse- 5063","Root team","35","No","spartans-lacrosse-5063","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Spartan</txt></action>
</block>
</reference>"
"South Windsor Lacrosse- 5735","Root team","49","No","south-windsor-lacrosse-5735","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>lacrosse</txt></action>
</block>
</reference>"
"Eastchester High School- 5516","Root team","50","No","eastchester-high-school-5516","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Lacrosse</txt></action>
</block>
</reference>"
"Sachem Booster Club- 6083","Root team","51","No","sachem-booster-club-6083","","","","","","No","Products only","","No","","","No layout updates"," <reference name=""header"">
<block type=""core/template"" name=""pass"" template=""password/pass.phtml"">
<action method=""setUserName""><txt></txt></action>
<action method=""setPassWord""><txt>Arrows</txt></action>
</block>
</reference>"
