Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
Sticks,Root Category/Mens,,Yes,Sticks,,,Sticks,,,Yes,Products only,,Yes,"Brand,Price,Color",Price,No layout updates,
Goals & Training,Root Category/Mens,,Yes,Goals-Training,,,Goals-Training,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Protective,Root Category/Mens,,Yes,Protective,,,Protective,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Apparel,Root Category/Mens,,Yes,Apparel,,,Apparel,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Lifestyle & Gifts,Root Category/Mens,,Yes, Lifestyle & Gifts,,, Lifestyle & Gifts,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Footwear,Root Category/Mens,,Yes,Footwear,,,Footwear,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Sticks,Root Category/Womens,,Yes,Sticks,,,Sticks,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goals & Training,Root Category/Womens,,Yes,Goals & Training,,,Goals & Training,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Protective,Root Category/Womens,,Yes,Protective,,,Protective,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Apparel,Root Category/Womens,,Yes,Apparel,,,Apparel,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Gift Cards & Lifestyle,Root Category/Womens,,Yes,Gift Cards & Lifestyle,,,Gift Cards & Lifestyle,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Footwear,Root Category/Womens,,Yes,Footwear,,,Footwear,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Heads,Root Category/Mens/Sticks,,Yes,Heads,,,Heads,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Shafts,Root Category/Mens/Sticks,,Yes,Shafts,,,Shafts,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Mesh & Stringing,Root Category/Mens/Sticks,,Yes,Mesh & Stringing,,,Mesh & Stringing,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Mini Lax,Root Category/Mens/Sticks,,Yes,Mini Lax,,,Mini Lax,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goals,Root Category/Mens/Goals & Training,,Yes,Goals,,,Goals,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Training ,Root Category/Mens/Goals & Training,,Yes,Training ,,,Training ,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Balls,Root Category/Mens/Goals & Training,,Yes,Balls,,,Balls,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Lacrosse Bags,Root Category/Mens/Goals & Training,,Yes,Lacrosse Bags,,,Lacrosse Bags,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Helmets,Root Category/Mens/Protective,,Yes,Helmets,,,Helmets,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Arm Pads,Root Category/Mens/Protective,,Yes,Arm Pads,,,Arm Pads,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Shoulder Pads,Root Category/Mens/Protective,,Yes,Shoulder Pads,,,Shoulder Pads,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Gloves,Root Category/Mens/Protective,,Yes,Gloves,,,Gloves,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Goalie Equipment,Root Category/Mens/Protective,,Yes,Goalie Equipment,,,Goalie Equipment,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Youth Start Packages,Root Category/Mens/Protective,,Yes,Youth Start Packages,,,Youth Start Packages,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Athletic Cups,Root Category/Mens/Protective,,Yes,Athletic Cups,,,Athletic Cups,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Game Day Accessories,Root Category/Mens/Protective,,Yes,Game Day Accessories,,,Game Day Accessories,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Lacrosse Shorts,Root Category/Mens/Apparel,,Yes,Lacrosse Shorts,,,Lacrosse Shorts,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
T Shirts,Root Category/Mens/Apparel,,Yes,T Shirts,,,T Shirts,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Performance Gear,Root Category/Mens/Apparel,,Yes,Performance Gear,,,Performance Gear,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
Sweats,Root Category/Mens/Apparel,,Yes,Sweats,,,Sweats,,,Yes,Products only,,Yes,"Brand,Price,Color",,No layout updates,
