category_ids,sku
"31,123,38,176",70000018
"31,123,38,176",70000020
"38,176",paisleyconfig
"38,176",409127CONFIG
"38,176",409126CONFIG
"38,176",409128CONFIG
"38,176",409129CONFIG
"38,176",sprintaztecconfig1
"38,176",sprintdotconfig
"38,176",NikeGirlsPerfCONFIG
"38,176",NikePerfPinkCONFIG
"38,176",NikePerfBlkCONFIG
"38,176",nikeiconconfig
"38,176",nikeiconPKconfig
"38,176",nikeiconRYLconfig
"4,38,195,61",70000009
"4,38,195,61",70000010
"4,38,195,61",70000011
"4,38,195,61",70000012config
"4,38,195,61",70000013
"4,38,195,61",70000014
"38,195",40905901
"38,195",40905902
"38,195",40905903
"38,195",40905904
"38,195",40905905
"38,195",40905906
"38,195",40905801
"38,195",40905802
"38,195",40905803
"38,195",40905804
"38,195",40905805
"38,195",40905806
"38,195",40906001
"38,195",40906002
"38,195",40906003
"38,195",40906004
"38,195",40906005
"38,195",40906006
"4,38,195,61",3for30girlsmysteryconfig
"4,38,194,61",403263
"4,38,194,61",404169
"4,38,194,61",404340
"4,38,194,61",20101211
"38,194",40912601
"38,194",40912602
"38,194",40912603
"38,194",40912604
194,40912701
194,40912702
194,40912703
194,40912704
"38,194",40912801
"38,194",40912802
"38,194",40912803
"38,194",40912804
"38,194",40912901
"38,194",40912902
"38,194",40912903
"38,194",40912904
"4,38,194,61",70000015
"4,38,194,61",70000016config
"38,194",argyleconfig
"4,38,194,61",girlburstconfig
"4,38,194,61",girlslashconfig
"4,9,73,194,31,123",LoungePantsLIMEconfig
"38,194",soffecheetahconfig
"38,194",soffeconfig
"38,194",soffeloveconfig
"38,194",soffeneonplaidconfig
"38,194",soffepeaceconfig
"38,194",soffepeacesignconfig
"38,194",soffepinkplaidconfig
"38,194",soffeplaidconfig
"38,194",soffesplatterconfig
"38,194",soffetyedyeconfig
"38,194",zebraconfig
