store,websites,attribute_set,type,category_ids,sku,configurable Products <configurable>,configurable Products (attributes),has_options,status,tax_class_id,is_recurring,visibility,is_imported,brand,cleat_sizes,isflash,color,gender,socksize,rainbow_sizes,bag_size,rw_google_base_skip_submi,price,special_price,cost,weight,msrp,name,meta_title,meta_description,image,small_image,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,thumbnail_label,gift_message_available,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,upc,videos,notification_title,rw_google_base_product_type,rw_google_base_product_categ,rw_google_base_12_digit_sku,description,short_description,meta_keyword,custom_layout_update,ugiftcert_amount_config,notification_text,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,stock_status_changed_automatically,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,use_config_enable_qty_increments,enable_qty_increments,is_decimal_divided,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,schools,apparelsizes,pinnie,athletic_cup_size,shoulder_size,glove_sizes,helmet_shell_colors,helmet_visor_colors,helmet_chin_colors,helmetsize,positions,age_level,arm_elbow,should_protection,google_size,goalie_protection_size,mesh_colors,head_level,shaft_sizes,mesh_type,hi_colors,gallery,minimal_price,price_,wts_gc_type,wts_gc_additional_prices,recurring_profile,price_type,sku_type,weight_type,price_view,shipment_type
admin,base,Protective,configurable,"17,79,309,",NIKE000243,"4118700000,4118710000,4118720000,4118730000,4118740000",color,1,Enabled,Taxable Goods,,"Catalog, Search",No,Nike,,,,mens,,,,No,150.00,,,2,,Nike Vapor Elite Lacrosse Gloves,Nike Vapor Elite Lacrosse Gloves,"New Nike Vapor Elite Lacrosse Gloves 13"" in Black. Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com",/Nike-Vapor-Elite-Lacrosse-Gloves-White-Black.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Black.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Black.png,,,,No layout updates,Block after Info Column,Nike Vapor Elite Lacrosse Gloves,Nike Vapor Elite Lacrosse Gloves,Nike Vapor Elite Lacrosse Gloves,No, ,Use config,Use config,,,{{var product.name}} update,,,,"The next generation Vapor Elite Glove from Nike Lacrosse. 13"" inch glove length fits middle school through college men's lacrosse player. Lightweight and now 10% lighter. Stretch zone along base of thumb. Two-piece nash palm for a natural stick feel. Breathable stretch gussets. Streamlined cuff roll. Limited warranty direct from Nike Lacrosse.",The next generation Vapor Elite Lacrosse Glove in 13 inch length and now 10% lighter,"new,nike,vapor elite,gloves,mens,Lacrosse,lax,laxx,black,white,13"",12"",durable,game,practice,comfortable,flexible,soft,",,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,0,0,0,1,0,1,1,0,0,Nike Vapor Elite Lacrosse Gloves,0,configurable,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Protective,simple,"17,79,309,",4118700000,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Black,mens,,,,No,150.00,,,2,,"Nike Vapor Elite Lacrosse Gloves-13""-black","Nike Vapor Elite Lacrosse Gloves-13""-black","New Nike Vapor Elite Lacrosse Gloves 13"" in Black. Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com",/Nike-Vapor-Elite-Lacrosse-Gloves-White-Black.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Black.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Black.png,,,,No layout updates,Block after Info Column,"Nike Vapor Elite Lacrosse Gloves-13""-black","Nike Vapor Elite Lacrosse Gloves-13""-black","Nike Vapor Elite Lacrosse Gloves-13""-black",No, ,Use config,Use config,,,{{var product.name}} update,,,,"The next generation Vapor Elite Glove from Nike Lacrosse. 13"" inch glove length fits middle school through college men's lacrosse player. Lightweight and now 10% lighter. Stretch zone along base of thumb. Two-piece nash palm for a natural stick feel. Breathable stretch gussets. Streamlined cuff roll. Limited warranty direct from Nike Lacrosse.",The next generation Vapor Elite Lacrosse Glove in 13 inch length and now 10% lighter,"new,nike,vapor elite,gloves,mens,Lacrosse,lax,laxx,black,white,13"",12"",durable,game,practice,comfortable,flexible,soft,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,"Nike Vapor Elite Lacrosse Gloves-13""-black",0,simple,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Protective,simple,"17,79,309,",4118710000,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Navy,mens,,,,No,150.00,,,2,,"Nike Vapor Elite Lacrosse Gloves-13""-navy","Nike Vapor Elite Lacrosse Gloves-13""-navy","New Nike Vapor Elite Lacrosse Gloves 13"" in Navy. Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com",/Nike-Vapor-Elite-Lacrosse-Gloves-White-Navy.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Navy.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Navy.png,,,,No layout updates,Block after Info Column,"Nike Vapor Elite Lacrosse Gloves-13""-navy","Nike Vapor Elite Lacrosse Gloves-13""-navy","Nike Vapor Elite Lacrosse Gloves-13""-navy",No, ,Use config,Use config,,,{{var product.name}} update,,,,"The next generation Vapor Elite Glove from Nike Lacrosse. 13"" inch glove length fits middle school through college men's lacrosse player. Lightweight and now 10% lighter. Stretch zone along base of thumb. Two-piece nash palm for a natural stick feel. Breathable stretch gussets. Streamlined cuff roll. Limited warranty direct from Nike Lacrosse.",The next generation Vapor Elite Lacrosse Glove in 13 inch length and now 10% lighter,"new,nike,vapor elite,gloves,mens,Lacrosse,lax,laxx,navy,white,13"",12"",durable,game,practice,comfortable,flexible,soft,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,"Nike Vapor Elite Lacrosse Gloves-13""-navy",0,simple,,,,,,,,"LG/13""",,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Protective,simple,"17,79,309,",4118720000,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Red,mens,,,,No,150.00,,,2,,"Nike Vapor Elite Lacrosse Gloves-13""-red","Nike Vapor Elite Lacrosse Gloves-13""-red","New Nike Vapor Elite Lacrosse Gloves 13"" in Red. Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com",/Nike-Vapor-Elite-Lacrosse-Gloves-White-Red.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Red.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Red.png,,,,No layout updates,Block after Info Column,"Nike Vapor Elite Lacrosse Gloves-13""-red","Nike Vapor Elite Lacrosse Gloves-13""-red","Nike Vapor Elite Lacrosse Gloves-13""-red",No, ,Use config,Use config,,,{{var product.name}} update,,,,"The next generation Vapor Elite Glove from Nike Lacrosse. 13"" inch glove length fits middle school through college men's lacrosse player. Lightweight and now 10% lighter. Stretch zone along base of thumb. Two-piece nash palm for a natural stick feel. Breathable stretch gussets. Streamlined cuff roll. Limited warranty direct from Nike Lacrosse.",The next generation Vapor Elite Lacrosse Glove in 13 inch length and now 10% lighter,"new,nike,vapor elite,gloves,mens,Lacrosse,lax,laxx,red,white,13"",12"",durable,game,practice,comfortable,flexible,soft,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,"Nike Vapor Elite Lacrosse Gloves-13""-red",0,simple,,,,,,,,"LG/13""",,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Protective,simple,"17,79,309,",4118730000,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Royal,mens,,,,No,150.00,,,2,,"Nike Vapor Elite Lacrosse Gloves-13""-royal","Nike Vapor Elite Lacrosse Gloves-13""-royal","New Nike Vapor Elite Lacrosse Gloves 13"" in Royal. Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com",/Nike-Vapor-Elite-Lacrosse-Gloves-White-Royal.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Royal.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-Royal.png,,,,No layout updates,Block after Info Column,"Nike Vapor Elite Lacrosse Gloves-13""-royal","Nike Vapor Elite Lacrosse Gloves-13""-royal","Nike Vapor Elite Lacrosse Gloves-13""-royal",No, ,Use config,Use config,,,{{var product.name}} update,,,,"The next generation Vapor Elite Glove from Nike Lacrosse. 13"" inch glove length fits middle school through college men's lacrosse player. Lightweight and now 10% lighter. Stretch zone along base of thumb. Two-piece nash palm for a natural stick feel. Breathable stretch gussets. Streamlined cuff roll. Limited warranty direct from Nike Lacrosse.",The next generation Vapor Elite Lacrosse Glove in 13 inch length and now 10% lighter,"new,nike,vapor elite,gloves,mens,Lacrosse,lax,laxx,royal,white,13"",12"",durable,game,practice,comfortable,flexible,soft,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,"Nike Vapor Elite Lacrosse Gloves-13""-royal",0,simple,,,,,,,,"LG/13""",,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Protective,simple,"17,79,309,",4118740000,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,White,mens,,,,No,150.00,,,2,,"Nike Vapor Elite Lacrosse Gloves-13""-white","Nike Vapor Elite Lacrosse Gloves-13""-white","New Nike Vapor Elite Lacrosse Gloves 13"" in White. Free Returns and Free shipping from Long Island NY on 100's of Products from LacrosseUnlimited.com",/Nike-Vapor-Elite-Lacrosse-Gloves-White-White.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-White.png,/Nike-Vapor-Elite-Lacrosse-Gloves-White-White.png,,,,No layout updates,Block after Info Column,"Nike Vapor Elite Lacrosse Gloves-13""-white","Nike Vapor Elite Lacrosse Gloves-13""-white","Nike Vapor Elite Lacrosse Gloves-13""-white",No, ,Use config,Use config,,,{{var product.name}} update,,,,"The next generation Vapor Elite Glove from Nike Lacrosse. 13"" inch glove length fits middle school through college men's lacrosse player. Lightweight and now 10% lighter. Stretch zone along base of thumb. Two-piece nash palm for a natural stick feel. Breathable stretch gussets. Streamlined cuff roll. Limited warranty direct from Nike Lacrosse.",The next generation Vapor Elite Lacrosse Glove in 13 inch length and now 10% lighter,"new,nike,vapor elite,gloves,mens,Lacrosse,lax,laxx,all white,13"",12"",durable,game,practice,comfortable,flexible,soft,",,,,,,,,,,20,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,0,1,0,1,1,0,0,"Nike Vapor Elite Lacrosse Gloves-13""-white",0,simple,,,,,,,,"LG/13""",,,,,,All,,,,,,,,,,,,,,,,,,,,
admin,base,Sticks,configurable,"20,75,247,248,",NIKE000253,"4120300000,4120310000",color,1,Enabled,Taxable Goods,,"Catalog, Search",No,Nike,,,,,,,,No,130.00,,,1.5,,Nike Vapor Elite Lacrosse Shaft,Nike Vapor Elite Lacrosse Shaft,New Nike Vapor Elite Lacrosse Shaft for Men. Free Shipping and Returns from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Vapor-Elite-Lacrosse-Shaft-Black-Silver.png,/Nike-Vapor-Elite-Lacrosse-Shaft-Black-Silver.png,/Nike-Vapor-Elite-Lacrosse-Shaft-Black-Silver.png,,,,No layout updates,Block after Info Column,Nike Vapor Elite Lacrosse Shaft,Nike Vapor Elite Lacrosse Shaft,Nike Vapor Elite Lacrosse Shaft,No, ,Use config,Use config,,,{{var product.name}} update,,,,"The Nike Vapor Elite Lacrosse Shafts is the  leader of the Nike Vapor Series built for Style and Performance. Nike Vapor Elite Lacrosse Shaft series offers the elite player Nike performance and dependability. High-Strength and Ultra Lightweight scandium alloy in Pinch Octagon shape. Thinner wall provides lighterweight performance. Minimal Nike Swoosh graphics. Available: Attack/middie, Defense.  Colors: Platinum/Red, Platinum/Royal, Platinum/Black, Black/Silver. Limited 6-month warranty direct from Nike Lacrosse.",The New Leader in the Nike Vapor Lacrosse Shaft series offering Elite players Nike performance and dependability,"new,nike,vapor elite,handle,shaft,male,mens,Lacrosse,lax,laxx,chrome,black,platinum,silver,attack,middie,high school,college,light,durable,game,practice,dependable,",,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,0,0,0,1,0,1,1,0,0,Nike Vapor Elite Lacrosse Shaft,0,configurable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Sticks,simple,"20,75,247,248,",4120300000,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Black,mens,,,,No,130.00,,,1.5,,Nike Vapor Elite Lacrosse Shaft-black,Nike Vapor Elite Lacrosse Shaft-black,New Nike Vapor Elite Lacrosse Shaft in Attack Black. Free Shipping and Returns from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Vapor-Elite-Lacrosse-Shaft-Black-Silver.png,/Nike-Vapor-Elite-Lacrosse-Shaft-Black-Silver.png,/Nike-Vapor-Elite-Lacrosse-Shaft-Black-Silver.png,,,,No layout updates,Block after Info Column,Nike Vapor Elite Lacrosse Shaft-black,Nike Vapor Elite Lacrosse Shaft-black,Nike Vapor Elite Lacrosse Shaft-black,No, ,Use config,Use config,,,{{var product.name}} update,,,,"The Nike Vapor Elite Lacrosse Shafts is the  leader of the Nike Vapor Series built for Style and Performance. Nike Vapor Elite Lacrosse Shaft series offers the elite player Nike performance and dependability. High-Strength and Ultra Lightweight scandium alloy in Pinch Octagon shape. Thinner wall provides lighterweight performance. Minimal Nike Swoosh graphics. Available: Attack/middie, Defense.  Colors: Platinum/Red, Platinum/Royal, Platinum/Black, Black/Silver. Limited 6-month warranty direct from Nike Lacrosse.",The New Leader in the Nike Vapor Lacrosse Shaft series offering Elite players Nike performance and dependability,"new,nike,vapor elite,handle,shaft,male,mens,Lacrosse,lax,laxx,chrome,black,platinum,silver,attack,middie,high school,college,light,durable,game,practice,dependable,",,,,,,,,,,20,0,1,0,0,1,1,1,0,,1,,0,1,0,1,0,0,1,0,1,1,0,0,Nike Vapor Elite Lacrosse Shaft-black,0,simple,,,,,,,,,,,,,Attack,High School,,,,,,,Attack/Middie,,,,,,,,,,,,,
admin,base,Sticks,simple,"20,75,247,248,",4120310000,,,1,Enabled,Taxable Goods,,Not Visible Individually,No,Nike,,,Platinum,mens,,,,No,130.00,,,1.5,,Nike Vapor Elite Lacrosse Shaft-platinum,Nike Vapor Elite Lacrosse Shaft-platinum,New Nike Vapor Elite Lacrosse Shaft in Attack Platinum. Free Shipping and Returns from Long Island NY on 100's of Products from LacrosseUnlimited.com,/Nike-Vapor-Elite-Lacrosse-Shaft-Platinum-Royal.png,/Nike-Vapor-Elite-Lacrosse-Shaft-Platinum-Royal.png,/Nike-Vapor-Elite-Lacrosse-Shaft-Platinum-Royal.png,,,,No layout updates,Block after Info Column,Nike Vapor Elite Lacrosse Shaft-platinum,Nike Vapor Elite Lacrosse Shaft-platinum,Nike Vapor Elite Lacrosse Shaft-platinum,No, ,Use config,Use config,,,{{var product.name}} update,,,,"The Nike Vapor Elite Lacrosse Shafts is the  leader of the Nike Vapor Series built for Style and Performance. Nike Vapor Elite Lacrosse Shaft series offers the elite player Nike performance and dependability. High-Strength and Ultra Lightweight scandium alloy in Pinch Octagon shape. Thinner wall provides lighterweight performance. Minimal Nike Swoosh graphics. Available: Attack/middie, Defense.  Colors: Platinum/Red, Platinum/Royal, Platinum/Black, Black/Silver. Limited 6-month warranty direct from Nike Lacrosse.",The New Leader in the Nike Vapor Lacrosse Shaft series offering Elite players Nike performance and dependability,"new,nike,vapor elite,handle,shaft,male,mens,Lacrosse,lax,laxx,chrome,black,platinum,royal,silver,attack,middie,high school,college,light,durable,game,practice,dependable,",,,,,,,,,,20,0,1,0,0,1,1,1,0,,1,,0,1,0,1,0,0,1,0,1,1,0,0,Nike Vapor Elite Lacrosse Shaft-platinum,0,simple,,,,,,,,,,,,,Attack,High School,,,,,,,Attack/Middie,,,,,,,,,,,,,
admin,base,Footwear,configurable,"19,98,228,",WAR000000273,"41139201,41139202,41139203,41139204,41139205,41139206,41139207,41139208,41139209,41139210,41139211,41139212,41139213,41139214,41139215",cleat_sizes,1,Enabled,Taxable Goods,,"Catalog, Search",No,Warrior,,,,mens,,,,No,89.99,,,2,,Warrior Burn Speed 7.0 MID Lacrosse Cleats - Black/Black,Warrior Burn Speed 7.0 MID Lacrosse Cleats - Black/Black,New Warrior Burn Speed 7.0 MID Black/Black Lacrosse Cleats with Free Returns and Free shipping from Long Island NY on 100's of Lax Products from LacrosseUnlimited.com,/Warrior-Burn-7-Mid-Lacrosse-Cleat-Black-Outside.png,/Warrior-Burn-7-Mid-Lacrosse-Cleat-Black-Outside.png,/Warrior-Burn-7-Mid-Lacrosse-Cleat-Black-Outside.png,,,,No layout updates,Block after Info Column,Warrior Burn Speed 7.0 MID Lacrosse Cleats - Black/Black,Warrior Burn Speed 7.0 MID Lacrosse Cleats - Black/Black,Warrior Burn Speed 7.0 MID Lacrosse Cleats - Black/Black,No, ,Use config,Use config,,,{{var product.name}} update,,,,"Re-imagined and reignited.  ExploWeave tech targets support for heated cutting moves, reduces weight, and balances ?exibility and stability where you need them. UPPER: ExploWeave® non-stretch saddle prevents upper stretching and wear, while simultaneously allowing for greater explosion. Exo-skeletal TPU support structure provides a fast, futuristic look and sleek design, but more importantly acts as a structural cage around your foot in areas of high stress. Triad Flex System® features three cordura prongs in the forefoot engineered to enhance both ?t and ?ex. Lightweight, adaptable compression tongue engineered for a custom ?t with increased ?exibility. Built on the custom-?tting TSL® speed last to ensure a performance ?t. Vapor tek® moisture management liner keeps feet dry and comfortable while wicking away excess moisture. BOTTOM: 14 lightweight TPU (thermo polyurethane) pegs. provide superior traction and motion control on all ?eld playing surfaces. Skived out TPU outsole reduces weight and adds ?exibility with no loss of traction. Elevated TPU in the lateral and medial sections of the heel and forefoot reinforce stability, traction and product
longevity. Medial cork screw studs de?ect ?eld turf beads during roll-speci?c movements. Mid-foot stability structure for increased arch support.
SPECS: 10.8 oz (size 9.5). Sizes: 6.5-12, 13, 14. Limited warranty direct from Warrior Lacrosse.","Re-imagined and reignited. New ExploWeave tech targets support for heated cutting moves, reduces weight,
and balances ?exibility and stability where you need them.
","Warrior,Speed,Burn,7,7.0,Lacrosse,lax,laxx,cleat,black,white,gray,cool,new,light,grass,turf,spikes,footwear,",,,,,,,,,,0,0,1,0,0,1,1,1,0,1,1,,,1,0,0,0,0,1,0,1,1,0,0,Warrior Burn Speed 7.0 MID Lacrosse Cleats - Black/Black,0,configurable,,,,,,,,,,,,,,All,,,,,,,,,,,,,,,,,,,,
